Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won,Is pop,Is rock,Is funk,Is country,Is hip hop,Is r&b,Is rap,Is folk
Eggun,Omar Sosa,"Omar Sosa, Vol. 1",2020-07-08,0.0,231915.0,0,0,0,0,0,0,0,0,0
Quien Soy Yo,Roberto Fonseca,Yo,2012-01-01,1.0,221480.0,0,0,0,0,0,0,0,0,0
La nave del olvido,Buika,La noche más larga,2013-06-04,21.0,363826.0,0,0,0,0,0,0,0,0,0
If He Did It Before....Same God - Live,Tye Tribbett,Greater Than (Live),2013-08-06,43.0,245146.0,0,0,0,0,0,0,0,0,0
"Lord, I Need You",Matt Maher,All The People Said Amen,2013-04-19,63.0,205666.0,0,0,0,0,0,0,0,0,0
Softer Still,Emily Nance,Softer Still,2021-12-09,32.0,265106.0,0,0,0,0,0,0,0,0,0
If You Believe,Craig Nankervis,If You Believe,2013,0.0,193828.0,0,0,0,0,0,0,0,0,0
Speak of Life,Nanny Aonghus,Devil of Style,2020-11-09,0.0,161880.0,0,0,0,0,0,0,0,0,0
Insane (Hurricane),Isaac Nander,The Victoria Album,2022-09-09,0.0,331013.0,0,0,0,0,0,0,0,0,0
Your Best Days Yet,"Bishop Paul S. Morton, Sr.",Best Days Yet,2012-11-13,27.0,306164.0,0,0,0,0,0,0,0,0,0
Grace - Live,Tasha Cobbs Leonard,Grace (Live/Deluxe),2013-02-01,32.0,369840.0,0,0,0,0,0,0,0,0,0
Burning Lights,Chris Tomlin,Burning Lights,2013-01-01,22.0,63761.0,0,0,0,0,0,0,0,0,0
Your Grace Finds Me - Live,Matt Redman,Your Grace Finds Me (Live),2014-01-01,43.0,340826.0,0,0,0,0,0,0,0,0,0
We Won't Be Shaken,Building 429,We Won't Be Shaken,2013-05-31,45.0,236546.0,0,0,0,0,0,0,0,0,0
Lucha de Gigantes - Aleks Syntek / Alfred Beck Remix,Aleks Syntek,Lucha de Gigantes (Aleks Syntek / Alfred Beck Remix),2019-04-18,6.0,229040.0,0,0,0,0,0,0,0,0,0
Viajero Frecuente,Ricardo Montaner,Viajero Frecuente - Destino México,2013-12-03,10.0,264706.0,0,0,0,0,0,0,0,0,0
"Faith, Hope Y Amor - Comentario",Frankie J,"Muve Sessions: Faith, Hope Y Amor",2013-01-01,0.0,267840.0,0,0,0,0,0,1,1,1,0
Chances,Nando,Chances,2020-08-14,0.0,170154.0,0,0,0,0,0,1,0,1,0
Ojo por Ojo,El Tri,Ojo Por Ojo,2013-03-07,5.0,175151.0,0,0,0,0,0,0,0,0,0
Romeo Y Su Nieta,Paquita La Del Barrio,Romeo Y Su Nieta,2013-07-09,42.0,134652.0,0,0,0,0,0,0,0,0,0
Y Te Vas,Intocable,En Peligro De Extinción,2013-01-01,23.0,219253.0,0,0,0,0,0,0,0,0,0
Cuando Te Entregues A Él,Banda Los Recoditos,El Free,2013-01-01,54.0,187666.0,0,0,0,0,0,0,0,0,0
Corazón Profundo - En Vivo Desde el Estadio El Campín de Bogotá,Carlos Vives,Carlos Vives + Amigos Desde el Estadio El Campín de Bogotá,2016-12-09,37.0,152226.0,0,0,0,0,0,0,0,0,0
Cómo Te Voy A Olvidar,Los Ángeles Azules,20 Kilates,2013-01-01,54.0,270893.0,0,0,0,0,0,0,0,0,0
Invisibles,Nanpa Básico,Los No Tan Tristes,2021-03-23,60.0,232200.0,0,0,0,0,0,0,0,0,0
One True Vine,Mavis Staples,One True Vine,2013-06-25,11.0,222840.0,0,1,0,0,0,0,0,0,0
Love Has Come For You,Steve Martin,Love Has Come For You,2013-01-01,30.0,188213.0,0,0,0,0,0,0,0,0,0
This World Oft Can Be,Della Mae,This World Oft Can Be,2013-01-01,8.0,191066.0,0,0,0,0,0,0,0,0,0
It's Just A Road,The Boxcars,It's Just A Road,2013-04-30,15.0,167013.0,0,0,0,0,0,0,0,0,0
Down In Louisiana,Bobby Rush,Down In Louisiana,2013-02-19,8.0,239946.0,0,0,0,0,0,0,0,0,0
Cotton Mouth Man,James Cotton,Cotton Mouth Man,2013-05-07,25.0,227373.0,0,0,0,0,0,0,0,0,0
The Ash & Clay,The Milk Carton Kids,The Ash & Clay,2013-03-26,24.0,219066.0,0,0,0,0,0,0,0,0,0
Build Me Up From Bones,Sarah Jarosz,Build Me Up From Bones,2013-01-01,48.0,216173.0,0,0,0,0,0,0,0,0,1
Laisse Le Vent Souffler,Zachary Richard,Le Fou,2012-10-09,7.0,266333.0,0,0,0,0,0,0,0,0,0
Hula Ku'i,Kahulanui,Hula Ku'i,2012-12-10,0.0,184613.0,0,0,0,0,0,0,0,0,0
New Orleans (After the City),Hot 8 Brass Band,The Life & Times Of...,2012-11-12,5.0,328560.0,0,0,0,0,0,0,0,0,0
The Messiah,Sizzla,The Messiah,2013-05-24,3.0,232706.0,0,0,0,0,0,0,0,0,0
One Love One Life,Beres Hammond,"One Love, One Life",2012-11-09,15.0,242266.0,0,0,0,0,0,0,0,0,0
No Place For My Dream,Femi Kuti,No Place For My Dream,2013-06-25,2.0,225120.0,0,0,0,0,0,0,0,0,0
Recess,Justin Roberts,Recess,2013-06-25,7.0,241413.0,0,0,0,0,0,0,0,0,0
The Mighty Sky,Beth Nielsen Chapman,The Mighty Sky,2011,0.0,237226.0,0,0,0,0,0,0,0,0,1
Blue Clouds,Elizabeth Mitchell,Blue Clouds,2012-10-22,28.0,193253.0,0,0,0,0,0,0,0,0,0
Great at Sex/Ted's Head,Ron White,A Little Unprofessional,2013-05-28,26.0,149282.0,0,0,0,0,0,0,0,0,0
Lincoln113,NanyKKK,Felicidad,2022-11-01,0.0,122000.0,0,0,0,0,0,0,0,0,0
The Sanctuary of Life - End Title,Riccardo Nanni,Uomini Proibiti (Original Motion Picture Soundtrack),2021-09-30,3.0,280262.0,0,0,0,0,0,0,0,0,0
Argone - Radio Edit,NanyKKK,Felicidad,2022-11-01,0.0,128955.0,0,0,0,0,0,0,0,0,0
Young And Beautiful,Lana Del Rey,Young And Beautiful,2013-01-01,79.0,236053.0,0,1,0,0,0,0,0,0,0
We Both Know,Colbie Caillat,Safe Haven Original Motion Picture Soundtrack,2013-01-01,35.0,230266.0,0,1,0,0,0,0,0,0,0
Silver Lining,Diane Warren,Silver Linings Playbook,2012-11-19,20.0,204546.0,0,0,0,0,0,0,0,0,0
Skylark,Nancy LaMott,Beautiful Baby,2005-01-01,2.0,187426.0,0,0,0,0,0,0,0,0,0
Invitation,Nancy Hamilton,Dreamsville,2016-09-15,0.0,315733.0,0,0,0,0,0,0,0,0,0
What a Wonderful World,Nando Real,What a Wonderful World,2022-06-14,0.0,145345.0,0,0,0,0,0,0,0,0,0
Let's Fall In Love,Nancy Sinatra,Sugar,2006-04-25,12.0,218383.0,0,0,0,0,0,0,0,0,0
The Next Day,Nanok,Fever,2014-10-06,0.0,225245.0,0,0,0,0,0,0,0,0,0
Duo des Fleurs (Lakmé),Carillon di ninna nanne,Arie d'opera per bebè con carillon per aiutare il tuo bambino a dormire,2022-12-21,5.0,72364.0,0,0,0,0,0,0,0,0,0
Kitty Beats - TheElement & Alex Wagner remix,NanoTesla,Electro Shots V2,2014-01-08,0.0,397500.0,0,0,0,0,0,0,0,0,0
51 - in geheimer Mission - Teil 04,Hanni und Nanni,51/in geheimer Mission,2016-06-03,16.0,79520.0,0,0,0,0,0,0,0,0,0
Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),2013,79.0,192789.0,0,0,0,0,0,0,0,0,0
"Fire, Ready, Aim",Green Day,Father of All...,2020-02-07,44.0,112939.0,0,0,0,0,0,0,0,0,0
Viva La Vida - Live,Coldplay,Live 2012,2012-11-19,52.0,298333.0,0,1,0,0,0,0,0,0,0
Somebody That I Used To Know,Gotye,Making Mirrors,2011-01-01,72.0,244973.0,1,0,0,0,0,0,0,0,0
囚われのBabel,Nana Mizuki,IMPACT EXCITER,2010-07-07,9.0,270866.0,1,0,0,0,0,0,0,0,0
forever we are young,Nana Asteria,SHOW YA,2022-03-31,2.0,235947.0,1,0,0,0,0,0,0,0,0
G Funk,Nancy Fletcher,"G Funk Classics, Vols. 1 & 2",1998,29.0,288173.0,1,0,0,0,0,0,0,0,0
Set Fire to the Rain - Live,Hello Adele Tribute,Set Fire to the Rain (Live),2019-05-17,29.0,244027.0,1,0,0,0,0,0,0,0,0
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),2011-10-24,63.0,221946.0,1,1,0,0,0,0,0,0,0
Bangarang (feat. Sirah),Skrillex,Bangarang EP,2011-12-27,67.0,215253.0,1,0,0,0,0,0,0,0,0
Lonely Boy,The Black Keys,El Camino,2011-12-06,70.0,193653.0,1,0,1,0,0,0,0,0,0
Love Bites (So Do I),Halestorm,The Strange Case of... (Deluxe),2012-04-09,53.0,191333.0,1,0,0,0,0,0,0,0,0
Money Maker - Electro-Vox Sessions,The Black Keys,El Camino (10th Anniversary Super Deluxe Edition),2021-11-05,20.0,179469.0,1,0,1,0,0,0,0,0,0
Climax,Usher,Looking 4 Myself (Expanded Edition),2012-06-12,58.0,232906.0,1,1,0,0,0,0,1,0,0
Love On Top,Beyoncé,4,2011-06-24,72.0,267413.0,1,1,0,0,0,0,1,0,0
No Church In The Wild,JAY-Z,Watch The Throne (Deluxe),2011-08-08,72.0,272506.0,1,0,0,0,0,1,0,1,0
Take Care,Drake,Take Care (Deluxe),2011-11-15,74.0,277386.0,1,0,0,0,0,1,0,1,0
Blown Away,Carrie Underwood,Blown Away,2012-05-01,61.0,240133.0,1,1,0,0,1,0,0,0,0
Pontoon,Little Big Town,Tornado,2013-01-01,59.0,212320.0,1,0,0,0,1,0,0,0,0
Uncaged,Zac Brown Band,Uncaged,2012-07-06,34.0,209213.0,1,0,0,0,1,0,0,0,0
Echoes of Love,Omar Akram,Echoes of Love,2012-06-05,25.0,286320.0,1,0,0,0,0,0,0,0,0
Hot House - Live,Nancy Erickson,Here & Now,2018-08-16,0.0,193240.0,1,0,0,0,0,0,0,0,0
Radio Song,Esperanza Spalding,Radio Music Society,2012-01-01,20.0,392080.0,1,0,0,0,0,0,0,0,0
"Dear Diz, Every Day I think of you - Live",Arturo Sandoval,Live At Yoshi's,2015-10-02,2.0,287526.0,1,0,0,0,0,0,0,0,0
"10,000 Reasons (Bless The Lord) - Live",Matt Redman,"10,000 Reasons (Live)",2011-01-01,63.0,342493.0,1,0,0,0,0,0,0,0,0
"Get It, Got It, Good",Nancy Anderson,Yank! (Original off-Broadway Cast Recording),2014-02-25,1.0,135386.0,1,0,0,0,0,0,0,0,1
Gravity,Lecrae,Gravity,2012-09-04,28.0,222732.0,1,0,0,0,0,0,0,0,0
Eye On It,TobyMac,Eye On It (Deluxe Edition),2012-01-01,41.0,187864.0,1,0,0,0,0,0,0,0,0
Imaginaries,Quetzal,Imaginaries,2012-02-28,0.0,171453.0,1,0,0,0,0,0,0,0,0
Locked Down,Dr. John,Locked Down,2012-03-30,25.0,299253.0,1,0,0,1,0,0,0,0,0
The Kaplan Waltz,Wayne Toups,The Band Courtbouillon,2011-11-15,8.0,213840.0,1,0,0,0,0,0,0,0,0
Can You Canoe?,The Okee Dokee Brothers,Can You Canoe? A Mississippi River Adventure Album,2012-05-15,39.0,184973.0,1,0,0,0,0,0,0,0,0
"Beautiful Things/The Things I Love/How About You? - Medley/Live On The Ed Sullivan Show, November 9, 1969",Nancy Wilson,"Beautiful Things/The Things I Love/How About You? (Medley/Live On The Ed Sullivan Show, November 9, 1969)",2022-08-05,17.0,182382.0,1,0,0,0,0,0,0,0,0
"BONUS: Meanwhile, At The Legion of Doom (featuring Ghani Guatama, InfluenC.E., Iceberg Theory and Tokyo Cigar)",nanigan nickleby,Dead Letters in Exile,2014-09-20,1.0,272718.0,1,0,0,0,0,0,0,0,0
We Found Love,Rihanna,Talk That Talk,2011-11-18,81.0,215226.0,1,1,0,0,0,0,0,0,0
We Are Never Ever Getting Back Together,Taylor Swift,Red (Big Machine Radio Release Special),2012-10-22,72.0,193146.0,0,1,0,0,0,0,0,0,0
Thinkin Bout You,Frank Ocean,channel ORANGE,2012-07-10,75.0,200746.0,0,0,0,0,0,1,0,0,0
We Are Young (feat. Janelle Monáe),fun.,Some Nights,2012-02-21,70.0,250626.0,0,0,0,0,0,0,0,0,0
Blunderbuss,Jack White,Blunderbuss,2012-04-20,35.0,185813.0,0,1,0,0,0,0,1,0,0
Some Nights,fun.,Some Nights,2012-02-21,66.0,277040.0,0,0,0,0,0,0,0,0,0
Where Have You Been,Rihanna,Talk That Talk,2011-11-18,77.0,242680.0,0,1,0,0,0,0,0,0,0
Wide Awake,Katy Perry,Teenage Dream: The Complete Confection,2012-03-12,65.0,220946.0,0,1,0,0,0,0,0,0,0
Call Me Maybe,Carly Rae Jepsen,Kiss (Deluxe),2012-01-01,69.0,193400.0,0,1,0,0,0,0,0,0,0
Payphone,Maroon 5,Overexposed (Deluxe),2012-01-01,68.0,231386.0,0,1,0,0,0,0,0,0,0
Sexy And I Know It,LMFAO,Sorry For Party Rocking (Deluxe Version),2011-01-01,61.0,199480.0,0,1,0,0,0,0,0,0,0
Rumbadoodle,Arun Shenoy,Rumbadoodle,2012-08-30,3.0,231213.0,0,0,0,0,0,0,0,0,0
Let It Free (Live),Dave Koz,Dave Koz Live at the Blue Note Tokyo,2012-09-25,7.0,208600.0,0,0,0,0,0,0,0,0,0
24/7,Gerald Albright,24/7,2012-01-01,13.0,359506.0,0,0,0,0,0,0,1,0,0
I Can't Live Without You - Maui & Chris Mix,Al Walser,I Can't Live Without You,2012-09-21,5.0,199000.0,0,0,0,0,0,0,0,1,0
Let's Go (feat. Ne-Yo),Calvin Harris,18 Months,2012-10-29,63.0,232800.0,0,1,0,0,0,0,0,0,0
Levels,Nangs,Patience,2023-01-06,0.0,186671.0,0,0,0,0,0,0,0,0,0
Everyday Will Be Like a Holiday,Carole King,A Holiday Carole,2011-11-01,15.0,187733.0,0,0,1,0,0,0,0,0,1
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),2012-11-09,69.0,206639.0,0,0,0,0,0,0,0,0,0
We Take Care of Our Own,Bruce Springsteen,Wrecking Ball,2012-03-06,37.0,233946.0,0,0,1,0,0,0,0,0,0
Charlie Brown,Coldplay,Mylo Xyloto,2011-10-24,65.0,285159.0,0,1,0,0,0,0,0,0,0
Hold On,Alabama Shakes,Boys & Girls (Deluxe Edition),2022-12-09,54.0,226186.0,0,0,1,0,0,0,0,0,0
Whose Life [Is It Anyways?],Megadeth,Th1rt3en,2011-10-26,29.0,230053.0,0,0,1,0,0,0,0,0,0
No Reflection,Marilyn Manson,Born Villain,2012-04-29,34.0,276297.0,0,1,0,0,0,0,0,0,0
Ghost Walking,Lamb of God,Resolution (Exclusive Edition),2012-01-24,46.0,270693.0,0,0,0,0,0,0,0,0,0
Blood Brothers - 2015 Remaster,Iron Maiden,Brave New World (2015 - Remaster),2000-05-29,36.0,434293.0,0,0,1,0,0,0,0,0,0
Madness - Cafe ChillOut,Nando Rodriguez,DEEPFECTED STORIES: The Album,2020-01-30,37.0,411724.0,0,0,0,0,0,0,0,0,0
Wrecking Ball,Bruce Springsteen,Wrecking Ball,2012-03-06,40.0,347600.0,0,0,1,0,0,0,0,0,0
The 2nd Law: Isolated System,Muse,The 2nd Law,2012-09-24,48.0,299986.0,0,0,0,0,0,0,0,0,0
Mylo Xyloto,Coldplay,Mylo Xyloto,2011-10-24,47.0,42106.0,0,1,0,0,0,0,0,0,0
Bad As Me,Tom Waits,Bad As Me (Deluxe Edition Remastered),2011-10-25,33.0,190400.0,0,0,0,0,0,0,0,0,1
The Making Of Hurry Up We're Dreaming,M83,"Hurry Up, We're Dreaming (Commentary)",2011,4.0,63272.0,0,0,0,0,0,0,0,0,0
Adorn,Miguel,Kaleidoscope Dream,2012-09-28,66.0,193146.0,0,1,0,0,0,0,1,0,0
I Want You,Luke James,Luke James (Deluxe),2014-09-23,36.0,221546.0,0,0,0,0,0,0,1,0,0
Gonna Be Alright (F.T.B.),Robert Glasper,Black Radio,2012-02-24,33.0,370026.0,0,0,0,0,0,1,0,1,0
If Only You Knew,SWV,I Missed Us,2012-04-17,37.0,309800.0,0,0,0,0,0,1,1,0,0
Real Good Hands,Gregory Porter,Be Good,2012-02-14,25.0,290960.0,0,0,0,0,0,0,0,0,0
Wrong Side Of A Love Song,Melanie Fiona,The MF Life (Deluxe Version),2012-01-01,36.0,270306.0,0,0,0,0,0,0,1,0,0
Lately,Anita Baker,Lately,2012-08-07,44.0,242025.0,0,0,0,1,0,0,1,0,0
Aright Refills,Nancie Adamson,Overview Locus,2022-10-29,0.0,122181.0,0,0,0,0,0,0,0,0,0
Pray for me,Nana,Pray for me,2023-01-15,0.0,217000.0,0,0,0,0,0,0,0,0,0
Heart Attack,Nancy,Who's Your Boyfriend Now?,2022-07-01,0.0,225933.0,0,0,0,0,0,0,0,0,0
Kaleidoscope Dream,Miguel,Kaleidoscope Dream,2012-09-28,37.0,257026.0,0,1,0,0,0,0,1,0,0
Beautiful Surprise,Tamia,Beautiful Surprise,2012-01-01,26.0,217106.0,0,0,0,0,0,0,1,0,0
Back To Love,Anthony Hamilton,Back To Love (Deluxe Version),2011-12-13,21.0,199586.0,0,0,0,0,0,0,1,0,0
Down and Dirty (Interlude 2),Young Jeezy,DJ Bobby Black: Down and Dirty 32,2012-01-01,9.0,34640.0,0,1,0,0,0,0,1,0,0
Mercy,Kanye West,Mercy,2012-01-01,69.0,329320.0,0,0,0,0,0,0,0,1,0
Daughters,Nas,Life Is Good (Deluxe),2012-01-01,28.0,200213.0,0,1,0,0,0,0,1,1,0
HYFR (Hell Ya F***ing Right),Drake,Take Care (Deluxe),2011-11-15,33.0,206600.0,0,0,0,0,0,1,0,1,0
Talk That Talk,Rihanna,Talk That Talk,2011-11-19,62.0,209600.0,0,1,0,0,0,0,0,0,0
Cherry Wine,Nas,Life Is Good (Deluxe),2012-01-01,41.0,356466.0,0,1,0,0,0,0,1,1,0
Tonight (Best You Ever Had) (feat. Ludacris),John Legend,Think Like A Man - Music From & Inspired By The Film,2012-04-06,58.0,239453.0,0,1,0,0,0,0,1,0,0
Wild Ones (feat. Sia),Flo Rida,Wild Ones,2012-06-22,74.0,232946.0,0,1,0,0,0,0,0,0,0
Young Wild & Free,Nancy Thomas,Feel The Beat,2009-07-20,0.0,122775.0,0,0,0,0,0,0,0,0,0
"The Nutcracker, Op. 71a, Dance of the Sugar Plum Fairies, Russian Dance, Motto Vivace",Anton Nanut Ljubljana Symphony Orchestra,Christmas Music Classics: 50 Essential Holiday Songs,2012-09-27,0.0,70853.0,0,0,0,0,0,0,0,0,0
"Mercy, Mercy, Mercy",Nancy Wilson,Just For Now,1967-01-01,7.0,207648.0,0,0,0,0,0,0,0,0,0
LIFE IS GOOD,NASU,MEMBERS ONLY,2022-06-30,0.0,243656.0,0,0,1,0,0,0,0,0,0
Wanted,Hunter Hayes,Hunter Hayes (Encore),2011,63.0,228840.0,0,1,0,0,1,0,0,0,0
Cost Of Livin',Ronnie Dunn,Ronnie Dunn (Expanded Edition),2011-06-07,42.0,250480.0,0,0,0,0,1,0,0,0,0
Springsteen,Eric Church,Chief,2011-01-01,69.0,263386.0,0,0,0,0,1,0,0,0,0
Walking Each Other Home,Dierks Bentley,Gravel & Gold,2023-02-24,47.0,225533.0,0,0,0,0,1,0,0,0,0
On The Outskirts Of Town,The Time Jumpers,The Time Jumpers,2012-01-01,10.0,231866.0,0,0,0,0,1,0,0,0,0
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,The Hunger Games: Songs From District 12 And Beyond,2012-01-01,62.0,240066.0,0,1,0,0,0,0,0,0,0
Even If It Breaks Your Heart,Eli Young Band,Life At Best,2011-01-01,63.0,220520.0,0,0,0,0,1,0,0,0,0
Faded Love (feat. The Time Jumpers),Asleep At The Wheel,Still the King: Celebrating the Music of Bob Wills and His Texas Playboys,2015-03-03,11.0,260986.0,0,0,1,0,0,0,0,0,0
Living For A Song,Jamey Johnson,Living For A Song: A Tribute To Hank Cochran,2012-01-01,15.0,193000.0,0,0,0,0,1,0,0,0,0
Deep Alpha 8 Hz: Pt. 1,Steven Halpern,Deep Alpha: Brainwave Synchronization for Meditation and Healing,2012-06-15,33.0,289600.0,0,0,0,0,0,0,0,0,0
Bindu,Michael Brant DeMaria,Bindu,2012-01-01,1.0,436000.0,0,0,0,0,0,0,0,0,0
Ananda Namah Shivaya (Live),Krishna Das,Kirtan Nation,2011-07-26,5.0,860133.0,0,0,0,0,0,0,0,0,0
Ode To Billie Joe,Nancy Wilson,Welcome To My Love,1968-01-01,31.0,319066.0,0,0,0,0,0,0,0,0,0
Hang The Tribal - Jun Yagi & SS-Machine Remix,Nanowave,"Grind Classics, Vol. 3",2013-01-01,0.0,466666.0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,Conjunto Nana Nenê,Mundo Encantado: Músicas Para Bebê,2014-04-20,20.0,160933.0,0,0,0,0,0,0,0,0,0
The Very Thought of You,Luciana Souza,Book of Chet,2012-08-28,1.0,305053.0,0,0,0,0,0,0,0,0,0
"You Only Live Twice - From ""Retrospective: The Music Of Mad Men"" Soundtrack",Nancy Sinatra,"You Only Live Twice (From ""Retrospective: The Music Of Mad Men"")",2015-10-09,36.0,165453.0,0,0,0,0,0,0,0,0,0
Soul Shadows,Denise Donatelli,Soul Shadows,2012-09-11,3.0,329786.0,0,0,0,0,0,0,0,0,0
Seeds from the Underground,Kenny Garrett,Seeds from the Underground,2012-04-10,3.0,488426.0,0,0,0,0,0,0,0,0,0
Hot House,Chick Corea,Hot House,2012-01-01,6.0,231360.0,0,0,0,0,0,0,0,0,0
For the Moment,Bob Mintzer Big Band,For the Moment,2012-06-19,1.0,372506.0,0,0,0,0,0,0,0,0,0
New Cuban Express,Manuel Valera,New Cuban Express,2012-06-05,7.0,479776.0,0,0,0,0,0,0,0,0,0
Flamenco Sketches,Chano Dominguez,Flamenco Sketches,2012,6.0,964186.0,0,0,0,0,0,0,0,0,0
My Testimony,Marvin Sapp,I Win,2012-03-30,41.0,625293.0,0,0,0,0,0,0,0,0,0
Go Get It,Mary Mary,Go Get It,2000,43.0,190760.0,0,0,0,0,0,0,1,0,0
Take Me to the King (feat. Kirk Franklin),Tamela Mann,Best Days,2012-08-12,50.0,287573.0,0,0,0,0,0,0,0,0,0
"Jesus, Friend Of Sinners",Casting Crowns,Come To The Well,2011-10-14,41.0,338133.0,0,0,0,0,0,0,0,0,0
Dear Life Give Me A Sign That I Am Not Alone,Nancy,The Seven Foot Tall Post-Suicidal Feel Good Blues,2021-01-15,9.0,205434.0,0,0,0,0,0,0,0,0,0
I Win,Marvin Sapp,I Win,2012-03-30,31.0,408426.0,0,0,0,0,0,0,0,0,0
Into The Light,Matthew West,Into The Light,2012-01-01,20.0,264186.0,0,0,0,0,0,0,0,0,0
Gold,Britt Nicole,Gold,2012,47.0,179333.0,0,0,0,0,0,1,0,1,0
¿Con Quién Se Queda El Perro?,Jesse & Joy,¿Con Quién Se Queda El Perro?,2011-12-06,58.0,188306.0,0,0,0,0,0,0,0,0,0
Pensamiento de Kany Garcia,Kany García,Contra el Viento,2019-05-17,23.0,35946.0,0,0,0,0,0,0,0,0,0
Ópticas Ilusiones,Nano Stern,Los Espejos,2009,22.0,169898.0,0,0,0,0,0,0,0,0,0
Sacar la Voz,Ana Tijoux,La Bala,2012,45.0,253360.0,0,0,0,0,0,0,0,0,0
Déjenme Llorar,Carla Morrison,Déjenme Llorar,2012-03-27,66.0,235306.0,0,0,0,0,0,0,0,0,0
No Fundo do Campo,Nando Moreno,Intitulado Cachaceiro - Ao Vivo,2016,24.0,175203.0,0,0,0,0,0,0,0,0,0
El Primer Ministro,Gerardo Ortiz,El Primer Ministro,2016-02-02,47.0,114120.0,0,0,0,0,0,0,0,0,0
Oye,Mariachi Divas de Cindy Shea,Oye,2012-06-19,2.0,214853.0,0,0,0,0,0,0,0,0,0
365 Días,Los Tucanes De Tijuana,365 Días,2017-10-02,36.0,187760.0,0,0,0,0,0,0,0,0,0
Sembrando Flores,Los Cojolites,Sembrando Flores,2012-01-17,39.0,316520.0,0,0,0,0,0,0,0,0,0
Intro (Fórmula) (feat. George Lopez),Romeo Santos,Fórmula Vol. 1 (Deluxe Edition),2012-08-27,33.0,131773.0,0,0,0,0,0,0,0,0,0
Cubano Soy,Raúl Lara Y Sus Soneros,Cubano Soy,2012,0.0,263138.0,0,0,0,0,0,0,0,0,0
Sleep On The Floor,The Lumineers,Cleopatra,2016-04-08,67.0,211851.0,0,1,0,0,0,0,0,0,0
The Once And Future Carpenter,The Avett Brothers,The Carpenter,2012-01-01,37.0,292200.0,0,0,0,0,0,0,0,0,0
Scratch Gravel Road,Special Consensus,Scratch Gravel Road,2012-03-27,8.0,199346.0,0,0,0,0,0,0,0,0,0
Life Finds A Way,The Grascals,Life Finds A Way,2012-06-03,23.0,146413.0,0,0,0,0,1,0,0,0,0
Bring It On Home,Joan Osborne,Bring It On Home,2012-03-26,10.0,246986.0,0,0,0,0,0,0,0,0,0
Leaving Eden,Carolina Chocolate Drops,Leaving Eden,2012-02-24,24.0,275906.0,0,0,0,0,0,0,0,0,0
Traveller (feat. Manu Delago) - Live,Anoushka Shankar,Between Us... (feat. Manu Delago) [Live],2022-07-08,17.0,273727.0,0,0,0,0,0,0,0,0,0
Little Seed,Elizabeth Mitchell,Little Seed: Songs for Children by Woody Guthrie,2012-07-10,26.0,205680.0,0,0,0,0,0,0,0,0,0
Rize of the Fenix,Tenacious D,Rize Of The Fenix,2012-05-14,47.0,353600.0,0,0,1,0,0,0,0,0,0
Nice Work If You Can Get It,Nanette Natal,Stairway to the Stars,2006-09-12,0.0,328466.0,0,0,0,0,0,0,0,0,0
Follies Bergers,Nancey Hayes,Nine (Original Australian Cast),1987,0.0,345906.0,0,0,0,0,0,0,0,0,0
Rock Of Ages,Nancy Morris,Peace,2009-01-06,0.0,145466.0,0,0,0,0,0,0,0,0,0
Marley Wilkinson,Nancy Knight,Marley Wilkinson,2022-06-25,0.0,52307.0,0,0,0,0,0,0,0,0,0
Journey to the West,Elijah Nang,Gaijin,2019-02-02,37.0,191428.0,0,0,0,0,0,0,0,0,0
E Tudo Seu Aqui (feat. Diego & Victor Hugo),Nando Moreno,Só As Melhores -Ao Vivo,2018,19.0,175426.0,0,0,0,0,0,0,0,0,0
The Escape Artist of Fears,Nani Kokua,The Escape Artist of Fears,2022-09-09,4.0,166321.0,0,0,0,0,0,0,0,0,0
Wild Is The Wind,Nancy Wilson,Hollywood - My Way (Expanded Edition),2006-01-01,3.0,169773.0,0,0,0,0,0,0,0,0,0
Out There,Riccardo Nannoni,Lapse: The_Pipe,2022-11-11,7.0,102000.0,0,0,0,0,0,0,0,0,0
Look to the Rainbow,Nancy 3. Hoffman,Rainy Daze,2007-06-05,0.0,218093.0,0,0,0,0,0,0,0,0,0
Snake Charmer,Nanomc,Snake Charmer,2022-05-26,0.0,199575.0,0,0,0,0,0,0,0,0,0
Idiot Mother . . . They Weren't Dead,Nanaki,Absence,2018-09-11,0.0,502871.0,0,0,0,0,0,0,0,0,0
barra americana,Nando Real,barra americana,2022-12-16,0.0,167366.0,0,0,0,0,0,0,0,0,0
Chase The Nightingale,Nando Michelin,When Einstein Dreams,2003,0.0,483386.0,0,0,0,0,0,0,0,0,0
Run Boy Run,Woodkid,The Golden Age,2013-01-01,69.0,213266.0,0,0,0,0,0,0,0,0,0
Bad Girls,Nana Strange,Death Men,2019-08-27,0.0,262010.0,0,0,0,0,0,0,0,0,0
Houdini,Foster The People,Torches,2011-05-23,63.0,202466.0,0,0,1,0,0,0,0,0,0
